"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2012","Poland","Composting and digestion","Kilograms per capita","30",""
"2013","Poland","Composting and digestion","Kilograms per capita","32",""
"2014","Poland","Composting and digestion","Kilograms per capita","30","e"
"2015","Poland","Composting and digestion","Kilograms per capita","46","e"
"2005","Portugal","Composting and digestion","Kilograms per capita","30",""
"2006","Portugal","Composting and digestion","Kilograms per capita","29",""
"2007","Portugal","Composting and digestion","Kilograms per capita","30",""
"2008","Portugal","Composting and digestion","Kilograms per capita","36",""
"2009","Portugal","Composting and digestion","Kilograms per capita","40",""
"2010","Portugal","Composting and digestion","Kilograms per capita","38",""
"2011","Portugal","Composting and digestion","Kilograms per capita","42",""
"2012","Portugal","Composting and digestion","Kilograms per capita","66",""
"2013","Portugal","Composting and digestion","Kilograms per capita","57",""
"2014","Portugal","Composting and digestion","Kilograms per capita","64",""
"2015","Portugal","Composting and digestion","Kilograms per capita",":",""
"2005","Romania","Composting and digestion","Kilograms per capita","0",""
"2006","Romania","Composting and digestion","Kilograms per capita","0",""
"2007","Romania","Composting and digestion","Kilograms per capita","0",""
"2008","Romania","Composting and digestion","Kilograms per capita","0",""
"2009","Romania","Composting and digestion","Kilograms per capita","0",""
"2010","Romania","Composting and digestion","Kilograms per capita","32",""
"2011","Romania","Composting and digestion","Kilograms per capita","22",""
"2012","Romania","Composting and digestion","Kilograms per capita","29",""
"2013","Romania","Composting and digestion","Kilograms per capita","23",""
"2014","Romania","Composting and digestion","Kilograms per capita","20",""
"2015","Romania","Composting and digestion","Kilograms per capita","18",""
"2005","Serbia","Composting and digestion","Kilograms per capita",":",""
"2006","Serbia","Composting and digestion","Kilograms per capita","0",""
"2007","Serbia","Composting and digestion","Kilograms per capita","0",""
"2008","Serbia","Composting and digestion","Kilograms per capita","0",""
"2009","Serbia","Composting and digestion","Kilograms per capita","0",""
"2010","Serbia","Composting and digestion","Kilograms per capita","0",""
"2011","Serbia","Composting and digestion","Kilograms per capita","0",""
"2012","Serbia","Composting and digestion","Kilograms per capita","0",""
"2013","Serbia","Composting and digestion","Kilograms per capita","0",""
"2014","Serbia","Composting and digestion","Kilograms per capita","0",""
"2015","Serbia","Composting and digestion","Kilograms per capita","0",""
"2005","Sweden","Composting and digestion","Kilograms per capita","50",""
"2006","Sweden","Composting and digestion","Kilograms per capita","52",""
"2007","Sweden","Composting and digestion","Kilograms per capita","54",""
"2008","Sweden","Composting and digestion","Kilograms per capita","57",""
"2009","Sweden","Composting and digestion","Kilograms per capita","60",""
"2010","Sweden","Composting and digestion","Kilograms per capita","60",""
"2011","Sweden","Composting and digestion","Kilograms per capita","64",""
"2012","Sweden","Composting and digestion","Kilograms per capita","65",""
"2013","Sweden","Composting and digestion","Kilograms per capita","69",""
"2014","Sweden","Composting and digestion","Kilograms per capita","72",""
"2015","Sweden","Composting and digestion","Kilograms per capita","70",""
"2005","Slovenia","Composting and digestion","Kilograms per capita","8",""
"2006","Slovenia","Composting and digestion","Kilograms per capita","7",""
"2007","Slovenia","Composting and digestion","Kilograms per capita","7",""
"2008","Slovenia","Composting and digestion","Kilograms per capita","8",""
"2009","Slovenia","Composting and digestion","Kilograms per capita","10",""
"2010","Slovenia","Composting and digestion","Kilograms per capita","11",""
"2011","Slovenia","Composting and digestion","Kilograms per capita","22",""
"2012","Slovenia","Composting and digestion","Kilograms per capita","21",""
"2013","Slovenia","Composting and digestion","Kilograms per capita","28",""
"2014","Slovenia","Composting and digestion","Kilograms per capita","30",""
"2015","Slovenia","Composting and digestion","Kilograms per capita","34","e"
"2005","Slovakia","Composting and digestion","Kilograms per capita","3",""
"2006","Slovakia","Composting and digestion","Kilograms per capita","9",""
"2007","Slovakia","Composting and digestion","Kilograms per capita","12",""
"2008","Slovakia","Composting and digestion","Kilograms per capita","12",""
"2009","Slovakia","Composting and digestion","Kilograms per capita","12",""
"2010","Slovakia","Composting and digestion","Kilograms per capita","11",""
"2011","Slovakia","Composting and digestion","Kilograms per capita","13",""
"2012","Slovakia","Composting and digestion","Kilograms per capita","15",""
"2013","Slovakia","Composting and digestion","Kilograms per capita","13",""
"2014","Slovakia","Composting and digestion","Kilograms per capita","17",""
"2015","Slovakia","Composting and digestion","Kilograms per capita","24",""
"2005","Turkey","Composting and digestion","Kilograms per capita","5","e"
"2006","Turkey","Composting and digestion","Kilograms per capita","4",""
"2007","Turkey","Composting and digestion","Kilograms per capita","5","e"
"2008","Turkey","Composting and digestion","Kilograms per capita","4",""
"2009","Turkey","Composting and digestion","Kilograms per capita","4","e"
"2010","Turkey","Composting and digestion","Kilograms per capita","3",""
"2011","Turkey","Composting and digestion","Kilograms per capita","4","e"
"2012","Turkey","Composting and digestion","Kilograms per capita","2",""
"2013","Turkey","Composting and digestion","Kilograms per capita","2","e"
"2014","Turkey","Composting and digestion","Kilograms per capita","2",""
"2015","Turkey","Composting and digestion","Kilograms per capita","2","e"
"2005","United Kingdom","Composting and digestion","Kilograms per capita","50",""
"2006","United Kingdom","Composting and digestion","Kilograms per capita","60",""
"2007","United Kingdom","Composting and digestion","Kilograms per capita","65",""
"2008","United Kingdom","Composting and digestion","Kilograms per capita","71",""
"2009","United Kingdom","Composting and digestion","Kilograms per capita","73",""
"2010","United Kingdom","Composting and digestion","Kilograms per capita","76",""
"2011","United Kingdom","Composting and digestion","Kilograms per capita","78",""
"2012","United Kingdom","Composting and digestion","Kilograms per capita","75",""
"2013","United Kingdom","Composting and digestion","Kilograms per capita","76",""
"2014","United Kingdom","Composting and digestion","Kilograms per capita","79",""
"2015","United Kingdom","Composting and digestion","Kilograms per capita","79",""
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Composting and digestion","Kilograms per capita",":",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Composting and digestion","Kilograms per capita",":",""
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Composting and digestion","Kilograms per capita",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Composting and digestion","Kilograms per capita",":",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Composting and digestion","Kilograms per capita",":",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Composting and digestion","Kilograms per capita",":",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Composting and digestion","Kilograms per capita",":",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Composting and digestion","Kilograms per capita",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Composting and digestion","Kilograms per capita",":",""
"2014","Kosovo (under United Nations Security Council Resolution 1244/99)","Composting and digestion","Kilograms per capita",":",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Composting and digestion","Kilograms per capita",":",""
