"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2012","Luxembourg","Landfill / disposal (D1-D7, D12)","Kilograms per capita","114",""
"2013","Luxembourg","Landfill / disposal (D1-D7, D12)","Kilograms per capita","112",""
"2014","Luxembourg","Landfill / disposal (D1-D7, D12)","Kilograms per capita","112",""
"2015","Luxembourg","Landfill / disposal (D1-D7, D12)","Kilograms per capita","110","e"
"2005","Latvia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","251",""
"2006","Latvia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","302",""
"2007","Latvia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","334",""
"2008","Latvia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","324",""
"2009","Latvia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","324",""
"2010","Latvia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","294",""
"2011","Latvia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","258",""
"2012","Latvia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","254",""
"2013","Latvia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","259",""
"2014","Latvia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","258",""
"2015","Latvia","Landfill / disposal (D1-D7, D12)","Kilograms per capita","250",""
"2005","Montenegro","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2006","Montenegro","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2007","Montenegro","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2008","Montenegro","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2009","Montenegro","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2010","Montenegro","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2011","Montenegro","Landfill / disposal (D1-D7, D12)","Kilograms per capita","480",""
"2012","Montenegro","Landfill / disposal (D1-D7, D12)","Kilograms per capita","446",""
"2013","Montenegro","Landfill / disposal (D1-D7, D12)","Kilograms per capita","447",""
"2014","Montenegro","Landfill / disposal (D1-D7, D12)","Kilograms per capita","492",""
"2015","Montenegro","Landfill / disposal (D1-D7, D12)","Kilograms per capita","488",""
"2005","Former Yugoslav Republic of Macedonia, the","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
