"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2009","Netherlands","Material recycling","Kilograms per capita","144",""
"2010","Netherlands","Material recycling","Kilograms per capita","142",""
"2011","Netherlands","Material recycling","Kilograms per capita","137",""
"2012","Netherlands","Material recycling","Kilograms per capita","131",""
"2013","Netherlands","Material recycling","Kilograms per capita","126",""
"2014","Netherlands","Material recycling","Kilograms per capita","125",""
"2015","Netherlands","Material recycling","Kilograms per capita","129",""
"2005","Norway","Material recycling","Kilograms per capita","112",""
"2006","Norway","Material recycling","Kilograms per capita","123",""
"2007","Norway","Material recycling","Kilograms per capita","136",""
"2008","Norway","Material recycling","Kilograms per capita","140",""
"2009","Norway","Material recycling","Kilograms per capita","128",""
"2010","Norway","Material recycling","Kilograms per capita","125",""
"2011","Norway","Material recycling","Kilograms per capita","121",""
"2012","Norway","Material recycling","Kilograms per capita","124",""
"2013","Norway","Material recycling","Kilograms per capita","116",""
"2014","Norway","Material recycling","Kilograms per capita","110",""
"2015","Norway","Material recycling","Kilograms per capita","110",""
"2005","Poland","Material recycling","Kilograms per capita","10",""
"2006","Poland","Material recycling","Kilograms per capita","13",""
"2007","Poland","Material recycling","Kilograms per capita","15",""
"2008","Poland","Material recycling","Kilograms per capita","23",""
"2009","Poland","Material recycling","Kilograms per capita","37",""
"2010","Poland","Material recycling","Kilograms per capita","47",""
"2011","Poland","Material recycling","Kilograms per capita","31",""
"2012","Poland","Material recycling","Kilograms per capita","33",""
"2013","Poland","Material recycling","Kilograms per capita","39",""
"2014","Poland","Material recycling","Kilograms per capita","57","e"
"2015","Poland","Material recycling","Kilograms per capita","75","e"
"2005","Portugal","Material recycling","Kilograms per capita","39",""
"2006","Portugal","Material recycling","Kilograms per capita","45",""
"2007","Portugal","Material recycling","Kilograms per capita","50",""
"2008","Portugal","Material recycling","Kilograms per capita","54",""
"2009","Portugal","Material recycling","Kilograms per capita","61",""
"2010","Portugal","Material recycling","Kilograms per capita","59",""
"2011","Portugal","Material recycling","Kilograms per capita","56",""
"2012","Portugal","Material recycling","Kilograms per capita","52",""
"2013","Portugal","Material recycling","Kilograms per capita","57",""
"2014","Portugal","Material recycling","Kilograms per capita","74",""
"2015","Portugal","Material recycling","Kilograms per capita",":",""
"2005","Romania","Material recycling","Kilograms per capita","7",""
"2006","Romania","Material recycling","Kilograms per capita","2",""
"2007","Romania","Material recycling","Kilograms per capita","2",""
"2008","Romania","Material recycling","Kilograms per capita","4",""
"2009","Romania","Material recycling","Kilograms per capita","4",""
"2010","Romania","Material recycling","Kilograms per capita","8",""
"2011","Romania","Material recycling","Kilograms per capita","9",""
"2012","Romania","Material recycling","Kilograms per capita","8",""
"2013","Romania","Material recycling","Kilograms per capita","11",""
"2014","Romania","Material recycling","Kilograms per capita","13",""
"2015","Romania","Material recycling","Kilograms per capita","14",""
"2005","Serbia","Material recycling","Kilograms per capita",":",""
"2006","Serbia","Material recycling","Kilograms per capita","0",""
"2007","Serbia","Material recycling","Kilograms per capita","0",""
"2008","Serbia","Material recycling","Kilograms per capita","0",""
"2009","Serbia","Material recycling","Kilograms per capita","0",""
"2010","Serbia","Material recycling","Kilograms per capita","0",""
"2011","Serbia","Material recycling","Kilograms per capita","0",""
"2012","Serbia","Material recycling","Kilograms per capita","0",""
"2013","Serbia","Material recycling","Kilograms per capita","3",""
"2014","Serbia","Material recycling","Kilograms per capita","2",""
"2015","Serbia","Material recycling","Kilograms per capita","2",""
"2005","Sweden","Material recycling","Kilograms per capita","163",""
"2006","Sweden","Material recycling","Kilograms per capita","183",""
"2007","Sweden","Material recycling","Kilograms per capita","174",""
"2008","Sweden","Material recycling","Kilograms per capita","165",""
"2009","Sweden","Material recycling","Kilograms per capita","173",""
"2010","Sweden","Material recycling","Kilograms per capita","151",""
"2011","Sweden","Material recycling","Kilograms per capita","149",""
"2012","Sweden","Material recycling","Kilograms per capita","147",""
"2013","Sweden","Material recycling","Kilograms per capita","150",""
"2014","Sweden","Material recycling","Kilograms per capita","146",""
"2015","Sweden","Material recycling","Kilograms per capita","145",""
"2005","Slovenia","Material recycling","Kilograms per capita","84",""
"2006","Slovenia","Material recycling","Kilograms per capita","72",""
"2007","Slovenia","Material recycling","Kilograms per capita","107",""
"2008","Slovenia","Material recycling","Kilograms per capita","94",""
"2009","Slovenia","Material recycling","Kilograms per capita","93",""
"2010","Slovenia","Material recycling","Kilograms per capita","99",""
"2011","Slovenia","Material recycling","Kilograms per capita","126",""
"2012","Slovenia","Material recycling","Kilograms per capita","131",""
"2013","Slovenia","Material recycling","Kilograms per capita","116",""
"2014","Slovenia","Material recycling","Kilograms per capita","126",""
"2015","Slovenia","Material recycling","Kilograms per capita","208","e"
"2005","Slovakia","Material recycling","Kilograms per capita","3",""
"2006","Slovakia","Material recycling","Kilograms per capita","3",""
"2007","Slovakia","Material recycling","Kilograms per capita","7",""
"2008","Slovakia","Material recycling","Kilograms per capita","11",""
"2009","Slovakia","Material recycling","Kilograms per capita","13",""
"2010","Slovakia","Material recycling","Kilograms per capita","18",""
"2011","Slovakia","Material recycling","Kilograms per capita","19",""
"2012","Slovakia","Material recycling","Kilograms per capita","26",""
"2013","Slovakia","Material recycling","Kilograms per capita","20",""
"2014","Slovakia","Material recycling","Kilograms per capita","16",""
"2015","Slovakia","Material recycling","Kilograms per capita","25",""
"2005","Turkey","Material recycling","Kilograms per capita",":",""
"2006","Turkey","Material recycling","Kilograms per capita",":",""
"2007","Turkey","Material recycling","Kilograms per capita",":",""
"2008","Turkey","Material recycling","Kilograms per capita",":",""
"2009","Turkey","Material recycling","Kilograms per capita",":",""
"2010","Turkey","Material recycling","Kilograms per capita",":",""
"2011","Turkey","Material recycling","Kilograms per capita",":",""
"2012","Turkey","Material recycling","Kilograms per capita",":",""
"2013","Turkey","Material recycling","Kilograms per capita",":",""
"2014","Turkey","Material recycling","Kilograms per capita",":",""
"2015","Turkey","Material recycling","Kilograms per capita",":",""
"2005","United Kingdom","Material recycling","Kilograms per capita","105",""
"2006","United Kingdom","Material recycling","Kilograms per capita","117",""
"2007","United Kingdom","Material recycling","Kilograms per capita","125",""
"2008","United Kingdom","Material recycling","Kilograms per capita","126",""
"2009","United Kingdom","Material recycling","Kilograms per capita","127",""
"2010","United Kingdom","Material recycling","Kilograms per capita","129",""
"2011","United Kingdom","Material recycling","Kilograms per capita","129",""
"2012","United Kingdom","Material recycling","Kilograms per capita","128",""
"2013","United Kingdom","Material recycling","Kilograms per capita","132",""
"2014","United Kingdom","Material recycling","Kilograms per capita","132",""
"2015","United Kingdom","Material recycling","Kilograms per capita","132",""
